Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj125,diaper,0.96,0.02,0.02,6,1.911,0.479,0.188,0,0.333,1248,291,1189,212,1480,NA,1202,2,6,Absent,1.099,1,17126,0,Singular,1,TRUE
Object,obj126,dinosaur,1,0,0,2,0.141,0.98,0,0,0.02,1013,364,1012,368,NA,NA,1021,3,8,Absent,1.792,3,12393,0,Singular,1,TRUE
Object,obj127,doctor,0.98,0.02,0,2,0.658,0.837,0,0,0.163,1049,264,1076,241,NA,NA,911,2,6,Absent,5.22,2,17528,0,Singular,1,FALSE
Object,obj128,dog,1,0,0,1,0,1,0,0,0,702,158,702,158,NA,NA,NA,1,3,Absent,4.754,1,12012,0,Singular,1,TRUE
Object,obj129,doll,1,0,0,5,0.842,0.86,0,0,0.14,992,245,1002,250,NA,NA,932,1,4,Absent,3.258,1,26607,0,Singular,1,TRUE
Object,obj130,dolphin,1,0,0,2,0.141,0.98,0,0,0.02,889,243,894,243,NA,NA,639,2,7,Absent,1.386,3,9949,0,Singular,1,TRUE
Object,obj131,donkey,0.96,0.02,0.02,6,1.251,0.771,0,0.125,0.104,1167,375,1060,261,NA,1593,1445,2,6,Absent,2.708,1,15643,0,Singular,1,TRUE
Object,obj132,door,1,0,0,1,0,1,0,0,0,719,153,719,153,NA,NA,NA,1,4,Absent,5.958,1,12638,0,Singular,1,TRUE
Object,obj133,dragon,0.96,0.04,0,1,0.057,1,0,0,0,891,296,891,296,NA,NA,NA,2,6,Absent,2.303,3,19272,0,Singular,1,TRUE
Object,obj134,drawer,1,0,0,1,0,1,0,0,0,994,213,994,213,NA,NA,NA,2,6,Absent,3.219,1,16141,0,Singular,2,TRUE
Object,obj135,dress,1,0,0,1,0,1,0,0,0,840,261,840,261,NA,NA,NA,1,5,Absent,4.477,1,23619,0,Singular,1,TRUE
Object,obj136,dresser,1,0,0,8,2.095,0.48,0.02,0.28,0.22,1207,388,1163,347,1072,1290,1208,2,7,Absent,1.792,3,21173,0,Singular,1,TRUE
Object,obj137,drill,0.86,0.1,0.04,7,1.704,0.628,0.07,0,0.302,1380,496,1311,310,1541,NA,1486,1,5,Absent,2.197,3,16254,0,Singular,1,TRUE
Object,obj138,drum,1,0,0,2,0.722,0.8,0.2,0,0,779,206,766,207,832,NA,NA,1,4,Absent,2.833,3,39085,0,Singular,2,TRUE
Object,obj139,duck,1,0,0,3,0.282,0.96,0,0,0.04,977,336,958,314,NA,NA,1428,1,4,Absent,0,1,11588,0,Singular,1,TRUE
Object,obj140,dustpan,0.84,0.16,0,8,1.573,0.69,0.143,0.071,0.095,1528,534,1490,530,1500,1584,1798,2,7,Absent,0.693,3,17095,0,Complex,1,FALSE
Object,obj141,eagle,1,0,0,5,1.671,0.58,0,0,0.42,1134,390,1213,357,NA,NA,1024,2,5,Absent,2.303,3,15555,0,Singular,1,TRUE
Object,obj142,ear,1,0,0,1,0,1,0,0,0,681,105,681,105,NA,NA,NA,1,3,Absent,4.489,1,9033,0,Singular,1,TRUE
Object,obj143,earring,0.68,0.32,0,7,1.636,0.588,0,0,0.412,1803,605,1642,539,NA,NA,2033,2,7,Absent,1.386,3,5676,0,Complex,1,FALSE
Object,obj144,egg,1,0,0,2,0.141,0.98,0.02,0,0,883,255,874,249,1336,NA,NA,1,3,Absent,4.466,1,10440,0,Singular,2,TRUE
Object,obj145,elephant,1,0,0,2,0.141,0.98,0,0,0.02,847,221,837,210,NA,NA,1360,3,8,Absent,3.219,1,24585,0,Singular,1,TRUE
Object,obj146,envelope,1,0,0,2,0.402,0.92,0,0,0.08,803,190,794,178,NA,NA,902,3,8,Absent,3.219,3,11394,0,Singular,1,TRUE
Object,obj147,eskimo,0.88,0.12,0,6,0.844,0.886,0,0,0.114,1306,580,1206,450,NA,NA,2078,3,6,Absent,0,3,11857,0,Singular,1,FALSE
Object,obj148,eye,0.98,0,0.02,2,0.169,0.98,0.02,0,0,703,107,700,105,869,NA,NA,1,3,Absent,6.261,1,9104,0,Singular,1,TRUE
Object,obj149,fan,0.98,0,0.02,2,0.169,0.98,0,0,0.02,868,252,865,254,NA,NA,996,1,3,Present,2.89,3,35152,0,Singular,1,TRUE
Object,obj150,faucet,1,0,0,6,1.06,0.82,0,0,0.18,1168,405,1130,377,NA,NA,1337,2,6,Present,1.099,3,17509,0,Singular,1,TRUE
Object,obj151,feather,0.98,0,0.02,2,0.169,0.98,0,0,0.02,977,404,977,408,NA,NA,944,2,7,Present,3.091,3,21626,0,Singular,1,TRUE
