Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj234,lamp,1,0,0,2,0.402,0.92,0,0,0.08,830,244,835,254,NA,NA,771,1,4,Absent,3.584,1,13522,0,Singular,1,TRUE
Object,obj235,lawnmower,0.98,0,0.02,3,0.31,0.959,0.02,0.02,0,1182,504,1166,490,887,2203,NA,3,9,Absent,0,2,18238,0,Complex,1,TRUE
Object,obj236,leaf,0.96,0,0.04,1,0.057,1,0,0,0,848,319,848,319,NA,NA,NA,1,4,Absent,4.407,3,26600,0,Singular,1,TRUE
Object,obj237,leg,0.94,0,0.06,3,0.98,0.787,0,0,0.213,989,251,1019,268,NA,NA,876,1,3,Absent,5.17,1,6995,0,Singular,1,TRUE
Object,obj238,lemon,0.98,0,0.02,3,0.31,0.959,0,0,0.041,933,316,911,300,NA,NA,1444,2,5,Absent,2.773,3,8524,0,Singular,1,TRUE
Object,obj239,leopard,0.92,0.04,0.04,5,1.441,0.543,0,0,0.457,1213,422,1194,357,NA,NA,1236,2,7,Absent,2.197,3,23203,0,Singular,1,TRUE
Object,obj240,letter,1,0,0,7,1.659,0.68,0.12,0.04,0.16,988,239,1030,246,927,979,856,2,6,Absent,5.333,3,40467,0,Singular,2,TRUE
Object,obj241,lettuce,0.98,0,0.02,7,1.559,0.571,0,0,0.429,1059,371,1037,356,NA,NA,1089,2,7,Absent,2.079,3,17140,0,Singular,1,TRUE
Object,obj242,lightbulb,1,0,0,3,0.482,0.92,0.08,0,0,752,160,737,135,931,NA,NA,2,9,Absent,0,3,10034,0,Complex,1,TRUE
Object,obj243,lighthouse,0.98,0.02,0,3,0.409,0.939,0.041,0,0.02,1216,532,1197,516,1041,NA,2439,2,10,Absent,1.386,3,31692,0,Complex,3,TRUE
Object,obj244,lightning,0.98,0,0.02,3,0.788,0.837,0.122,0,0.041,954,202,944,187,999,NA,1023,2,9,Absent,2.708,3,30782,0,Singular,3,TRUE
Object,obj245,lightswitch,1,0,0,5,1.451,0.64,0.34,0,0.02,976,290,966,205,944,NA,1863,2,11,Absent,0,3,7739,0,Complex,1,TRUE
Object,obj246,lion,0.98,0,0.02,1,0.029,1,0,0,0,812,170,812,170,NA,NA,NA,2,4,Absent,3.258,1,32267,0,Singular,1,TRUE
Object,obj247,lips,1,0,0,3,0.383,0.94,0.02,0,0.04,702,145,696,142,595,NA,884,1,4,Absent,0,2,6586,0,Complex,1,FALSE
Object,obj248,lipstick,1,0,0,1,0,1,0,0,0,803,174,803,174,NA,NA,NA,2,8,Absent,2.079,3,6029,0,Complex,1,TRUE
Object,obj249,lizard,0.98,0,0.02,5,0.784,0.878,0,0,0.122,1229,521,1155,459,NA,NA,1755,2,6,Absent,1.609,3,12070,0,Singular,1,TRUE
Object,obj250,llama,0.9,0.08,0.02,7,1.39,0.756,0,0,0.244,1495,547,1387,454,NA,NA,1831,2,5,Absent,0,3,10293,0,Singular,1,TRUE
Object,obj251,lobster,0.98,0.02,0,5,0.963,0.837,0,0,0.163,1361,549,1289,542,NA,NA,1730,2,7,Absent,1.386,3,20034,0,Singular,1,TRUE
Object,obj252,lock,0.98,0.02,0,1,0.029,1,0,0,0,968,358,968,358,NA,NA,NA,1,4,Absent,2.773,3,9706,0,Singular,1,TRUE
Object,obj253,log,1,0,0,6,1.269,0.74,0,0,0.26,1032,371,975,301,NA,NA,1194,1,3,Absent,2.485,3,13517,0,Singular,1,TRUE
Object,obj254,magnet,0.98,0,0.02,2,0.27,0.959,0,0,0.041,1202,533,1189,537,NA,NA,1508,2,6,Absent,1.386,3,23234,0,Singular,2,TRUE
Object,obj255,mailbox,1,0,0,3,0.721,0.84,0,0,0.16,856,172,846,172,NA,NA,906,2,7,Absent,1.099,3,19211,0,Complex,2,TRUE
Object,obj256,man,1,0,0,3,0.383,0.94,0.02,0,0.04,1018,408,978,323,1516,NA,1703,1,3,Absent,7.396,1,15791,0,Singular,1,TRUE
Object,obj257,map,1,0,0,1,0,1,0,0,0,847,203,847,203,NA,NA,NA,1,3,Absent,3.714,3,41029,0,Singular,1,TRUE
Object,obj258,mask,1,0,0,2,0.141,0.98,0,0,0.02,847,187,852,185,NA,NA,606,1,4,Absent,3.045,3,13646,0,Singular,1,TRUE
Object,obj259,match,0.96,0.02,0.02,1,0.057,1,0,0,0,910,267,910,267,NA,NA,NA,1,5,Absent,4.06,3,13078,0,Singular,1,TRUE
Object,obj260,medal,0.94,0.02,0.04,3,0.616,0.894,0.085,0,0.021,1202,500,1197,521,1211,NA,1350,2,5,Absent,2.485,3,21541,0,Singular,1,TRUE
Object,obj261,microphone,0.8,0.2,0,5,0.793,0.9,0,0,0.1,1532,649,1473,607,NA,NA,2065,3,10,Absent,2.197,3,9962,0,Singular,1,TRUE
Object,obj262,microscope,0.9,0.08,0.02,2,0.698,0.844,0,0,0.156,1203,383,1212,399,NA,NA,1153,3,10,Absent,2.197,3,20349,0,Singular,1,TRUE
Object,obj263,mirror,0.98,0,0.02,1,0.029,1,0,0,0,873,193,873,193,NA,NA,NA,2,6,Absent,3.912,3,11938,0,Singular,1,TRUE
Object,obj264,mixer,0.92,0.04,0.04,6,2.092,0.391,0,0.239,0.37,1388,447,1367,439,NA,1271,1487,2,5,Absent,1.099,3,18578,0,Singular,1,FALSE
Object,obj265,priest,0.92,0.06,0.02,8,1.867,0.435,0,0.435,0.13,1322,473,1077,262,NA,1397,1890,1,6,Absent,3.912,3,10111,1,Singular,1,FALSE
Object,obj266,monkey,1,0,0,1,0,1,0,0,0,794,228,794,228,NA,NA,NA,2,6,Absent,2.944,1,18988,0,Singular,1,TRUE
Object,obj267,moon,0.94,0,0.06,1,0.084,1,0,0,0,804,196,804,196,NA,NA,NA,1,4,Absent,4.094,1,3730,0,Singular,1,TRUE
Object,obj268,moose,0.92,0.04,0.04,6,1.332,0.761,0,0,0.239,1269,438,1158,334,NA,NA,1624,1,5,Absent,0.693,2,23330,0,Singular,1,TRUE
Object,obj269,mop,1,0,0,2,0.327,0.94,0,0,0.06,920,311,933,315,NA,NA,716,1,3,Absent,1.386,2,14393,0,Singular,2,TRUE
Object,obj270,mosquito,0.92,0.06,0.02,8,2.073,0.543,0,0,0.457,1589,564,1436,452,NA,NA,1772,3,8,Absent,1.792,3,20758,0,Singular,1,TRUE
Object,obj271,motorcycle,1,0,0,3,0.282,0.96,0,0,0.04,928,276,932,281,NA,NA,838,4,10,Absent,2.708,1,24207,0,Complex,1,TRUE
Object,obj272,mountain,1,0,0,3,0.383,0.94,0,0,0.06,967,375,921,308,NA,NA,1686,2,8,Absent,4.443,3,13588,0,Singular,1,TRUE
Object,obj273,mouse,0.98,0,0.02,4,0.548,0.918,0.02,0,0.061,954,286,961,294,1088,NA,806,1,5,Absent,2.944,1,13250,0,Singular,2,TRUE
Object,obj274,mousetrap,0.98,0.02,0,3,1.119,0.653,0.347,0,0,1269,470,1193,414,1412,NA,NA,2,9,Absent,0.693,3,18345,0,Complex,2,FALSE
Object,obj275,mushroom,1,0,0,1,0,1,0,0,0,746,152,746,152,NA,NA,NA,2,8,Absent,2.639,3,8337,0,Singular,1,TRUE
Object,obj276,music,0.96,0,0.04,5,1.628,0.5,0.125,0.354,0.021,1056,351,1072,402,1109,992,1439,2,5,Absent,4.898,3,5175,0,Singular,1,FALSE
Object,obj277,nail,0.98,0.02,0,1,0.029,1,0,0,0,1086,414,1086,414,NA,NA,NA,1,4,Absent,3.258,2,9585,0,Singular,1,TRUE
Object,obj278,neck,0.98,0.02,0,5,1.361,0.673,0,0,0.327,1133,302,1057,211,NA,NA,1288,1,4,Absent,4.382,3,5700,0,Singular,1,TRUE
Object,obj279,necklace,1,0,0,5,0.94,0.82,0.02,0,0.16,863,195,821,162,807,NA,1090,2,8,Absent,1.609,1,8347,0,Singular,1,TRUE
Object,obj280,needle,0.94,0.04,0.02,5,0.639,0.915,0.021,0,0.064,1514,660,1449,604,1945,NA,2312,2,6,Absent,2.833,3,8377,1,Singular,1,FALSE
Object,obj281,nest,0.96,0,0.04,4,1.067,0.729,0.021,0,0.25,994,372,1059,413,921,NA,811,1,4,Absent,2.89,3,12296,0,Singular,1,TRUE
Object,obj282,net,1,0,0,3,0.282,0.96,0,0,0.04,1007,388,1004,391,NA,NA,1083,1,3,Absent,3.091,3,9970,0,Singular,1,TRUE
Object,obj283,nose,0.96,0,0.04,1,0.057,1,0,0,0,721,87,721,87,NA,NA,NA,1,4,Absent,4.407,1,4703,0,Singular,1,TRUE
Object,obj284,nurse,0.98,0,0.02,3,0.31,0.959,0,0,0.041,1053,315,1039,295,NA,NA,1378,1,5,Absent,3.912,2,19385,0,Singular,2,TRUE
Object,obj285,nut,0.94,0.02,0.04,5,1.634,0.489,0,0,0.511,1385,419,1298,430,NA,NA,1468,1,3,Absent,3.178,2,7235,0,Singular,1,FALSE
Object,obj286,octopus,0.98,0,0.02,1,0.029,1,0,0,0,841,197,841,197,NA,NA,NA,3,7,Absent,1.099,3,33010,0,Singular,1,TRUE
Object,obj287,onion,0.98,0,0.02,4,0.449,0.939,0,0,0.061,1115,375,1100,360,NA,NA,1337,2,5,Absent,2.833,3,11645,0,Singular,1,TRUE
Object,obj288,orange,0.98,0.02,0,3,0.31,0.959,0,0,0.041,1129,439,1098,422,NA,NA,1842,2,6,Absent,3.045,1,10314,0,Singular,1,TRUE
Object,obj289,ostrich,0.9,0.1,0,5,1.085,0.8,0,0,0.2,1419,584,1337,547,NA,NA,1748,2,7,Absent,1.386,3,13009,0,Singular,1,TRUE
Object,obj290,owl,1,0,0,1,0,1,0,0,0,837,165,837,165,NA,NA,NA,1,3,Absent,2.079,1,15316,0,Singular,1,TRUE
Object,obj291,package,1,0,0,4,0.423,0.94,0,0.02,0.04,1088,295,1102,298,NA,890,860,2,7,Absent,3.045,3,29767,0,Singular,1,FALSE
Object,obj292,bucket,1,0,0,2,0.925,0.66,0,0.34,0,892,252,875,260,NA,925,NA,2,6,Absent,3.045,2,14552,0,Singular,1,TRUE
Object,obj293,paintbrush,0.98,0,0.02,3,0.932,0.776,0.184,0,0.041,1067,318,1033,294,1143,NA,1382,2,10,Absent,0.693,3,7932,0,Complex,1,TRUE
Object,obj294,paint,0.88,0.08,0.04,8,1.934,0.568,0.114,0,0.318,1435,597,1366,663,1374,NA,1581,1,5,Absent,3.296,3,11757,0,Singular,2,TRUE
Object,obj295,palmtree,0.98,0.02,0,3,0.729,0.857,0.143,0,0,914,216,908,218,944,NA,NA,2,8,Absent,0,3,18577,0,Complex,1,TRUE
Object,obj296,pan,1,0,0,4,0.842,0.84,0.1,0.02,0.04,891,261,865,252,988,1223,1025,1,3,Absent,3.332,3,9738,0,Singular,1,TRUE
Object,obj297,panda,0.94,0.04,0.02,6,1.942,0.383,0.277,0,0.34,1129,382,1071,334,1180,NA,1154,2,5,Absent,0.693,3,29117,0,Singular,1,TRUE
Object,obj298,pants,0.96,0.04,0,3,0.592,0.896,0,0,0.104,779,207,757,200,NA,NA,971,1,5,Absent,2.833,1,16138,0,Complex,1,TRUE
Object,obj299,paper,1,0,0,3,0.721,0.84,0.14,0,0.02,931,281,930,266,941,NA,899,2,5,Absent,5.421,1,33840,0,Singular,2,TRUE
Object,obj300,paperclip,0.86,0.1,0.04,4,0.991,0.814,0.047,0,0.14,1327,638,1262,541,3057,NA,1130,3,9,Absent,0,3,21555,0,Complex,1,TRUE
Object,obj301,parachute,0.86,0.1,0.04,4,1.448,0.605,0,0,0.395,1452,530,1437,561,NA,NA,1474,3,9,Absent,1.609,3,25199,0,Singular,2,TRUE
Object,obj302,parrot,0.96,0.04,0,2,0.765,0.792,0,0,0.208,1045,450,910,178,NA,NA,1557,2,6,Absent,1.609,3,18115,0,Singular,2,TRUE
Object,obj303,paw,0.92,0.02,0.06,6,1.506,0.674,0,0,0.326,1406,459,1341,478,NA,NA,1540,1,3,Absent,1.946,3,21167,0,Singular,1,TRUE
Object,obj304,peach,0.88,0.02,0.1,7,1.382,0.75,0,0,0.25,1293,420,1247,374,NA,NA,1429,1,5,Absent,1.946,3,6893,0,Singular,1,FALSE
Object,obj305,peacock,0.9,0.08,0.02,5,0.782,0.889,0,0,0.111,1025,340,1010,289,NA,NA,1139,2,7,Absent,1.609,3,62243,0,Singular,1,TRUE
Object,obj306,peanut,0.9,0,0.1,1,0.137,1,0,0,0,780,190,780,190,NA,NA,NA,2,6,Absent,1.792,3,10266,0,Singular,1,TRUE
Object,obj307,pear,1,0,0,1,0,1,0,0,0,949,250,949,250,NA,NA,NA,1,4,Absent,1.946,3,18960,0,Singular,1,TRUE
Object,obj308,peas,0.94,0.04,0.02,5,1.583,0.574,0.383,0,0.043,1240,401,1201,397,1240,NA,1763,1,4,Absent,0,1,24609,0,Complex,1,TRUE
Object,obj309,pelican,0.86,0.1,0.04,4,1.044,0.791,0,0,0.209,1194,519,1102,364,NA,NA,1541,3,7,Absent,1.099,3,13369,0,Singular,1,TRUE
Object,obj310,pen,1,0,0,1,0,1,0,0,0,753,134,753,134,NA,NA,NA,1,3,Absent,3.296,1,9078,0,Singular,1,TRUE
Object,obj311,pencil,1,0,0,1,0,1,0,0,0,702,186,702,186,NA,NA,NA,2,6,Absent,2.996,2,7899,0,Singular,1,TRUE
Object,obj312,pencilsharpener,0.62,0.34,0.04,4,0.96,0.839,0.097,0,0.065,1608,587,1617,612,1782,NA,1233,5,15,Absent,0,3,19617,0,Complex,1,FALSE
Object,obj313,penguin,0.96,0,0.04,1,0.057,1,0,0,0,897,266,897,266,NA,NA,NA,2,7,Absent,1.792,1,20074,0,Singular,1,TRUE
Object,obj314,piano,0.98,0,0.02,1,0.029,1,0,0,0,798,225,798,225,NA,NA,NA,3,5,Absent,3.332,3,19570,0,Singular,1,TRUE
Object,obj315,picture,0.96,0,0.04,4,0.85,0.833,0.021,0.125,0.021,1022,355,1009,352,1533,987,1233,2,7,Absent,5.165,1,16812,0,Singular,1,TRUE
Object,obj316,pig,1,0,0,1,0,1,0,0,0,855,212,855,212,NA,NA,NA,1,3,Absent,3.784,1,10411,0,Singular,1,TRUE
Object,obj317,bird,0.98,0,0.02,9,2.424,0.367,0,0,0.633,1527,626,1399,546,NA,NA,1601,1,4,Absent,4.644,1,11709,1,Singular,1,FALSE
Object,obj318,piggybank,0.98,0,0.02,4,0.449,0.939,0.061,0,0,972,198,965,194,1067,NA,NA,3,9,Absent,0,3,24489,0,Complex,1,TRUE
Object,obj319,pillow,1,0,0,1,0,1,0,0,0,867,184,867,184,NA,NA,NA,2,6,Absent,2.996,1,16592,0,Singular,1,TRUE
Object,obj320,pineapple,0.98,0,0.02,2,0.169,0.98,0,0,0.02,883,332,871,325,NA,NA,1447,3,9,Absent,1.386,3,20721,0,Singular,1,TRUE
Object,obj321,pinecone,0.8,0.16,0.04,9,1.562,0.725,0,0,0.275,1578,567,1536,522,NA,NA,1689,2,8,Absent,0,3,10484,0,Complex,1,FALSE
Object,obj322,pipe,0.94,0.04,0.02,2,0.224,0.979,0,0,0.021,867,327,866,330,NA,NA,944,1,4,Absent,3.466,3,7235,0,Singular,1,FALSE
Object,obj323,pirate,0.98,0,0.02,5,0.769,0.878,0,0.02,0.102,1186,362,1118,273,NA,1418,1718,2,6,Absent,1.792,3,37716,0,Singular,5,TRUE
Object,obj324,pitcher,0.9,0.08,0.02,6,1.788,0.578,0,0,0.422,1362,583,1248,444,NA,NA,1518,2,7,Absent,0.693,3,8789,0,Singular,1,TRUE
Object,obj325,pitchfork,0.96,0.04,0,6,1.522,0.646,0,0.021,0.333,1369,567,1397,564,NA,1880,1281,2,9,Absent,0,3,6158,0,Complex,1,FALSE
Object,obj326,pizza,1,0,0,1,0,1,0,0,0,973,296,973,296,NA,NA,NA,2,5,Absent,1.099,1,40526,0,Singular,4,TRUE
Object,obj327,plate,1,0,0,4,0.423,0.94,0.02,0,0.04,1051,322,1013,280,1264,NA,1824,1,5,Absent,4.025,1,21533,0,Singular,3,TRUE
Object,obj328,pliers,0.94,0.06,0,4,1.223,0.596,0,0,0.404,1426,690,1521,723,NA,NA,1285,2,6,Absent,0.693,3,9876,0,Complex,1,FALSE
Object,obj329,plug,0.96,0.02,0.02,3,0.336,0.958,0.021,0.021,0,1262,531,1241,523,2219,1243,NA,1,4,Absent,2.303,3,11385,0,Singular,1,TRUE
Object,obj330,policeman,1,0,0,11,2.269,0.54,0.26,0.04,0.16,1397,466,1132,307,1724,1447,1752,3,9,Absent,3.664,3,21428,0,Complex,1,TRUE
Object,obj331,pool,0.98,0,0.02,3,0.948,0.735,0.265,0,0,879,174,871,183,901,NA,NA,1,4,Absent,3.738,1,28244,0,Singular,3,TRUE
Object,obj332,popcorn,0.98,0.02,0,1,0.029,1,0,0,0,745,236,745,236,NA,NA,NA,2,7,Absent,0.693,2,26185,0,Complex,2,FALSE
Object,obj333,popsicle,0.86,0.14,0,5,1.221,0.744,0.023,0,0.233,1504,640,1380,555,1172,NA,1935,3,8,Absent,0,2,9409,0,Singular,1,FALSE
Object,obj334,porcupine,0.94,0.06,0,2,0.224,0.979,0,0,0.021,1321,574,1291,541,NA,NA,2711,3,9,Absent,0.693,3,20053,0,Singular,1,TRUE
Object,obj335,pot,0.8,0.16,0.04,8,1.522,0.725,0,0,0.275,1532,581,1361,473,NA,NA,1982,1,3,Absent,3.611,3,5266,0,Singular,1,TRUE
Object,obj336,potato,0.9,0.1,0,3,0.51,0.933,0,0,0.067,1238,464,1214,431,NA,NA,1565,3,6,Absent,3.611,2,6576,0,Singular,1,FALSE
Object,obj337,present,0.96,0.02,0.02,5,1.516,0.667,0.021,0.125,0.188,955,325,893,242,1752,1258,886,2,7,Absent,2.89,2,11938,0,Singular,1,TRUE
Object,obj338,priest,0.98,0,0.02,5,0.588,0.918,0,0.041,0.041,1184,328,1165,309,NA,1344,1452,1,6,Absent,3.912,3,15587,1,Singular,1,TRUE
Object,obj339,pumpkin,0.98,0.02,0,1,0.029,1,0,0,0,909,207,909,207,NA,NA,NA,2,7,Absent,1.099,2,18960,0,Singular,1,TRUE
Object,obj340,purse,1,0,0,2,0.141,0.98,0,0.02,0,780,169,772,161,NA,1164,NA,1,5,Absent,2.398,1,21948,0,Singular,1,TRUE
Object,obj341,pyramid,0.96,0.04,0,2,0.197,0.979,0,0,0.021,990,347,987,350,NA,NA,1134,3,7,Absent,2.079,3,19838,0,Singular,1,TRUE
Object,obj342,queen,0.98,0,0.02,1,0.029,1,0,0,0,931,297,931,297,NA,NA,NA,1,5,Absent,3.989,3,11277,0,Singular,1,TRUE
Object,obj343,rabbit,0.98,0,0.02,2,0.658,0.837,0,0.163,0,742,179,746,192,NA,722,NA,2,6,Absent,2.996,3,11295,0,Singular,1,TRUE
Object,obj344,raccoon,0.9,0.04,0.06,5,0.971,0.844,0,0,0.156,1163,452,1079,331,NA,NA,1617,2,7,Absent,0,3,16186,0,Singular,1,TRUE
Object,obj345,radio,1,0,0,4,0.745,0.86,0.02,0,0.12,1072,275,1007,203,1304,NA,1492,3,5,Absent,4.489,1,19880,0,Singular,1,TRUE
Object,obj346,radish,0.72,0.12,0.16,7,1.772,0.583,0,0,0.417,1755,411,1768,424,NA,NA,1736,2,6,Absent,0.693,3,11066,0,Singular,1,FALSE
Object,obj347,rain,0.92,0.04,0.04,3,0.703,0.87,0.022,0,0.109,941,317,891,265,1216,NA,1285,1,4,Absent,4.29,1,20795,0,Singular,1,TRUE
Object,obj348,rainbow,0.96,0,0.04,2,0.197,0.979,0,0,0.021,1014,292,1004,286,NA,NA,1505,2,7,Absent,2.079,3,32529,0,Complex,2,FALSE
Object,obj349,rake,1,0,0,2,0.141,0.98,0,0,0.02,833,178,828,176,NA,NA,1075,1,4,Absent,1.099,3,5156,0,Singular,1,TRUE
Object,obj350,razor,0.98,0,0.02,3,0.409,0.939,0,0.041,0.02,1099,302,1089,309,NA,1255,1255,2,5,Absent,2.303,3,14404,0,Singular,1,TRUE
Object,obj351,recordplayer,0.96,0.04,0,5,0.928,0.833,0.021,0.021,0.125,1103,385,1040,343,1923,1742,1276,4,12,Absent,0,3,18552,0,Complex,2,FALSE
Object,obj352,refrigerator,1,0,0,3,0.607,0.88,0.12,0,0,854,172,842,172,942,NA,NA,5,12,Absent,2.398,1,7828,0,Singular,1,TRUE
Object,obj353,rhinoceros,0.96,0.02,0.02,6,1.17,0.771,0.146,0,0.083,1055,463,998,346,1019,NA,1644,4,10,Absent,1.099,3,18320,0,Singular,1,TRUE
Object,obj354,gun,0.98,0.02,0,2,0.874,0.714,0,0,0.286,851,308,848,351,NA,NA,858,1,3,Absent,4.605,3,9010,1,Singular,1,FALSE
Object,obj355,ring,1,0,0,1,0,1,0,0,0,785,220,785,220,NA,NA,NA,1,4,Absent,1.386,3,7652,0,Singular,1,TRUE
Object,obj356,road,1,0,0,3,0.482,0.92,0,0.08,0,981,305,925,224,NA,1630,NA,1,4,Absent,5.521,3,26797,0,Singular,2,TRUE
Object,obj357,robot,1,0,0,2,0.141,0.98,0,0,0.02,822,257,793,156,NA,NA,2249,2,5,Absent,2.079,3,9502,0,Singular,1,TRUE
Object,obj358,rock,0.98,0.02,0,2,0.169,0.98,0,0,0.02,912,262,910,265,NA,NA,1022,1,4,Absent,4.762,1,16005,0,Singular,1,FALSE
Object,obj359,rocket,1,0,0,3,0.541,0.9,0.08,0.02,0,861,234,854,240,870,1119,NA,2,6,Absent,2.708,3,18164,0,Singular,1,TRUE
Object,obj360,rockingchair,1,0,0,4,1.142,0.66,0.34,0,0,883,237,878,153,894,NA,NA,3,12,Absent,0,1,17826,0,Complex,1,TRUE
Object,obj361,rollerskate,0.98,0,0.02,3,1.128,0.51,0.49,0,0,861,132,844,144,878,NA,NA,3,11,Absent,0,3,16620,0,Complex,1,TRUE
Object,obj362,rollingpin,0.94,0.06,0,4,1.14,0.745,0.17,0,0.085,1143,461,1113,441,1158,NA,1375,3,10,Absent,0,3,8674,0,Complex,1,TRUE
Object,obj363,roof,0.98,0,0.02,3,0.409,0.939,0.02,0,0.041,1092,296,1094,304,987,NA,1107,1,4,Absent,4.043,2,13178,0,Singular,1,TRUE
Object,obj364,rooster,0.98,0,0.02,4,1.439,0.551,0,0,0.449,1089,410,1175,408,NA,NA,984,2,7,Absent,0.693,2,17393,0,Singular,1,FALSE
Object,obj365,rope,1,0,0,1,0,1,0,0,0,810,183,810,183,NA,NA,NA,1,4,Absent,3.761,3,34568,0,Singular,1,TRUE
Object,obj366,rose,0.98,0,0.02,2,0.816,0.755,0,0,0.245,859,150,870,160,NA,NA,826,1,4,Absent,3.091,3,25742,0,Singular,1,TRUE
Object,obj367,rug,1,0,0,3,1.191,0.68,0,0.1,0.22,990,372,964,367,NA,1236,959,1,3,Absent,2.773,3,13474,0,Singular,1,TRUE
Object,obj368,ruler,1,0,0,1,0,1,0,0,0,779,199,779,199,NA,NA,NA,2,5,Absent,2.944,3,10785,0,Singular,1,TRUE
Object,obj369,saddle,0.98,0.02,0,1,0.029,1,0,0,0,1019,284,1019,284,NA,NA,NA,2,6,Present,2.398,3,10307,0,Singular,1,FALSE
Object,obj370,safe,0.92,0.04,0.04,7,1.202,0.804,0.022,0,0.174,1253,376,1243,358,2378,NA,1156,1,4,Present,2.079,3,10940,0,Singular,1,TRUE
Object,obj371,safetypin,0.9,0.04,0.06,7,1.818,0.533,0.267,0,0.2,1143,494,1278,560,973,NA,1009,3,9,Present,0.693,3,13291,0,Complex,1,TRUE
Object,obj372,sailboat,0.96,0,0.04,4,0.95,0.792,0.167,0,0.042,1057,241,1076,249,996,NA,929,2,8,Present,0,3,19076,0,Complex,2,TRUE
Object,obj373,sailor,1,0,0,4,0.606,0.9,0,0,0.1,1048,242,1031,228,NA,NA,1203,2,6,Present,2.565,3,12192,0,Singular,1,TRUE
Object,obj374,salt,0.96,0.04,0,4,1.085,0.75,0.188,0,0.063,1037,386,972,346,1169,NA,1428,1,4,Present,3.638,2,8601,0,Singular,1,TRUE
Object,obj375,sandwich,1,0,0,1,0,1,0,0,0,775,136,775,136,NA,NA,NA,2,8,Present,0,2,13607,0,Singular,1,TRUE
Object,obj376,saw,0.98,0.02,0,1,0.029,1,0,0,0,863,181,863,181,NA,NA,NA,1,3,Present,0.693,3,11302,0,Singular,1,TRUE
Object,obj377,saxophone,0.94,0.04,0.02,6,1.142,0.809,0.043,0,0.149,1103,382,1061,329,1398,NA,1242,3,9,Present,0.693,3,8795,0,Singular,1,TRUE
Object,obj378,scale,0.9,0.1,0,8,2.015,0.556,0.133,0.089,0.222,1388,504,1387,513,1157,1283,1572,1,5,Present,4.419,3,14308,0,Singular,1,TRUE
Object,obj379,scarf,1,0,0,2,0.141,0.98,0,0,0.02,1111,270,1116,271,NA,NA,908,1,5,Present,2.565,2,24187,0,Singular,1,TRUE
Object,obj380,scissors,0.94,0.02,0.04,1,0.084,1,0,0,0,741,179,741,179,NA,NA,NA,2,8,Present,1.609,1,13042,0,Complex,1,TRUE
Object,obj381,scorpion,0.96,0.04,0,4,0.672,0.896,0,0,0.104,1318,419,1252,340,NA,NA,1882,2,8,Present,1.099,3,13037,0,Singular,1,TRUE
Object,obj382,screw,0.98,0,0.02,2,0.554,0.878,0,0,0.122,1217,426,1176,368,NA,NA,1505,1,5,Present,2.398,3,8170,0,Singular,1,TRUE
Object,obj383,screwdriver,0.96,0.02,0.02,1,0.057,1,0,0,0,1179,458,1179,458,NA,NA,NA,3,11,Present,1.386,3,9051,0,Complex,1,FALSE
Object,obj384,seahorse,0.82,0.12,0.06,5,0.866,0.878,0,0,0.122,1157,349,1132,332,NA,NA,1335,2,8,Present,0,3,9744,0,Complex,1,TRUE
Object,obj385,seal,0.98,0,0.02,4,0.923,0.816,0,0,0.184,1221,556,1115,388,NA,NA,1696,1,4,Present,2.708,3,12172,0,Singular,1,TRUE
Object,obj386,seesaw,0.96,0.04,0,3,0.935,0.75,0,0.229,0.021,1196,458,1196,496,NA,1158,1589,2,6,Present,0.693,3,18444,0,Singular,3,TRUE
Object,obj387,sewingmachine,1,0,0,2,0.141,0.98,0,0,0.02,1063,394,1068,396,NA,NA,808,4,13,Present,0,3,29901,0,Complex,1,FALSE
Object,obj388,shark,0.96,0,0.04,3,0.336,0.958,0,0,0.042,1019,294,1014,284,NA,NA,1121,1,5,Present,3.045,3,14311,0,Singular,1,TRUE
Object,obj389,sheep,0.88,0.02,0.1,5,1.433,0.636,0,0,0.364,1307,392,1269,364,NA,NA,1374,1,5,Present,3.714,1,12385,0,Singular,1,TRUE
Object,obj390,shell,1,0,0,6,0.979,0.84,0.06,0,0.1,1129,329,1101,280,1182,NA,1333,1,5,Present,3.85,3,18590,0,Singular,1,TRUE
Object,obj391,boat,0.98,0.02,0,3,1.202,0.531,0,0.469,0,982,327,860,308,NA,1120,NA,1,4,Absent,4.344,2,33033,1,Singular,2,TRUE
Object,obj392,shirt,0.98,0,0.02,5,1.156,0.755,0.02,0,0.224,1272,504,1334,536,1596,NA,1035,1,5,Present,4.127,1,23660,0,Singular,1,TRUE
Object,obj393,shoe,0.98,0,0.02,1,0.029,1,0,0,0,737,155,737,155,NA,NA,NA,1,4,Present,4.382,1,14105,0,Singular,1,TRUE
Object,obj394,shoulder,1,0,0,2,0.795,0.76,0,0,0.24,1118,328,1162,351,NA,NA,975,2,8,Present,4.86,2,6274,0,Singular,1,TRUE
