Picture_Number,Picture_Identity,Synonyms
obj236,leaf,"petal,"
obj237,leg,"calf, shin, foreleg, knee, foot,"
obj238,lemon,"lime, orange, fruit,"
obj239,leopard,"cheetah, tiger, lion, cat, panther, jaguar,"
obj240,letter,"mail, note, message,"
obj241,lettuce,"cabbage, spinach, romaine, kale, leaf, leaves, flower,"
obj242,lightbulb,"bulb, light,"
obj243,lighthouse,"lookout,"
obj244,lightning,"storm, rainstorm, lightning storm, rain, lightning bolt, thunder, thunderstorm,"
obj245,lightswitch,"light, switch, flip switch,"
obj246,lion,
obj247,lips,"mouth,"
obj248,lipstick,
obj249,lizard,"iguana, salamander, gecko,"
obj250,llama,"alpaca, sheep, ostrich,"
obj251,lobster,"crustacean, crab, crawfish,"
obj252,lock,"unlock, unlocked, locked,"
obj253,log,"wood, timber, chunk,"
obj254,magnet,"magnetic pull,"
obj255,mailbox,"mail, letterbox, letters, postbox,"
obj256,man,"male, adult, businessman,"
obj257,map,"America, Uniteds States, North America,"
obj258,mask,
obj259,match,"lighter, match stick,"
obj260,medal,"award, honor,"
obj261,microphone,
obj262,microscope,"_magniscope,"
obj263,mirror,"reflection,"
obj264,mixer,"blender, beater,"
obj265,priest,"pope, minister, father, monk, friar,"
obj266,monkey,"ape, baboon, chimpanzee, gorilla, lemur, orangutan, baby monkey,"
obj267,moon,"crescent moon,"
obj268,moose,"elk, deer,"
obj269,mop,"broom, towel, squeegee, spill,"
obj270,mosquito,"bug, insect, fly, pest, flea, dragonfly,"
obj271,motorcycle,"bike, bicycle, motorbike, moped, scooter, minibike, semi,"
obj272,mountain,"peak, apex, ridge, Matterhorn,"
obj273,mouse,"rat, hamster, mole,"
obj274,mousetrap,"trap,"
obj275,mushroom,
obj276,music,"musical note, musical notes, treble clef,"
obj277,nail,"screw, bolt,"
obj278,neck,"woman, collar,"
obj279,necklace,"choker, jewelry, beads, pearls, pearl necklace,"
obj280,needle,"flag,"
obj281,nest,"eggs, basket,"
obj282,net,"mesh, web, lattice, hoop, fishing net,"
obj283,nose,"snout, nostril, nostrils, sniff,"
obj284,nurse,"woman, female, adult,"
obj285,nut,"bolt, screw, rivet,"
obj286,octopus,"tentacles, squid, giant squid,"
obj287,onion,"garlic, shallot, scallion,"
obj288,orange,"tangerine, grapefruit, clementine, mandarin, peach, apricot, fruit, rock,"
obj289,ostrich,"emu, turkey, llama,"
obj290,owl,
obj291,package,"bomb, gift, mail, packet, explosive, parcel,"
obj292,bucket,"canister, pail, vat, container,"
obj293,paintbrush,"brush, bristle,"
obj294,paint,"paintbrush, paintbrushes, palette, paint palette, art, painting,"
obj295,palmtree,"tree, coconut tree,"
obj296,pan,"kettle, pot, saucepan, frying pan, sheet, skillet,"
obj297,panda,"bear, panda bear,"
obj298,pants,"jeans, trousers, slacks, chinos, corduroys, denims,"
obj299,paper,"papers, essay, looseleaf paper, looseleaf papers, journal, assignment, homework,"
obj300,paperclip,
obj301,parachute,"safety net, hot air balloon,"
obj302,parrot,"bird, macaw, parakeet, toucan, cockatoo, lovebird, pecan,"
obj303,paw,"foot, claw,"
obj304,peach,"tangerine, grapefruit, clementine, mandarin, orange, apricot, nectarine, fruit,"
obj305,peacock,"turkey, peafowl, peahen, feather, feathers,"
obj306,peanut,"nut, kernel, cashew, almond, pistachio, walnut, hazelnut,"
obj307,pear,"avocado, fruit,"
obj308,peas,"beans, peapod, pea, green beans,"
obj309,pelican,"seagull, bird, crane, stork, toucan, egret,"
obj310,pen,"ballpoint pen, writing utensil, pencil, writing instrument, fountain pen, quill,"
obj311,pencil,"pencil,"
obj312,pencilsharpener,
obj313,penguin,"puffin, bird,"
obj314,piano,"instrument, music, musical instrument, keyboard, grand piano, organ,"
obj315,picture,"painting, drawing, boat, ship, decor, art, oil panting,"
obj316,pig,"boar, hog, piglet,"
obj317,bird,"pigeon, dove, crow, turkey, chicken, rooster, hen, swallow, fowl,"
obj318,piggybank,"pig, savings, decoration, deposit,"
obj319,pillow,"flag, cushion, padding, American flag,"
obj320,pineapple,"fruit,"
obj321,pinecone,"pineapple, acorn,"
obj322,pipe,"blunt, cigar,"
obj323,pirate,"sailor, raider, buccaneer, pirate ship, man, male,"
obj324,pitcher,"jug, vase, vessel, bottle, container, pint,"
obj325,pitchfork,"trident, rake, weapon,"
obj326,pizza,"pizza pie, pizza slices, slices,"
obj327,plate,"setting, dish, platter, table setting, utensils, set,"
obj328,pliers,"wrench,"
obj329,plug,"socket, outlet, jack, electrical plug,"
obj330,policeman,"man, woman, police woman, detective, female, male, cop, officer, patrol man, patrol woman, sheriff, guard, stopping guard, police officer,"
obj331,pool,
obj332,popcorn,
obj333,popsicle,"lollipop, ice cream, sorbet, popsicle stick, popsicle sticks, sticks, stick, ice cream stick, ice cream sticks, dessert,"
obj334,porcupine,"hedgehog, possum, echidna,"
obj335,pot,"bowl, bucket, kettle, pan, container, canister,"
obj336,potato,"chip, potato chip, amoeba, crisp, yam, rice, grain,"
obj337,present,"gift, package, box,"
obj338,priest,"pope, minister, father, monk, friar,"
obj339,pumpkin,"squash, fruit, tomato, onion, pepper,"
obj340,purse,"pocket book, hand bag, bag, pouch, wallet, clutch, money bag,"
obj341,pyramid,"Egypt, shrine, tomb, prism,"
obj342,queen,"regal, crown, throne, emperor, monarch, king,"
obj343,rabbit,"bunny, hare, rodent, squirrel, chinchilla,"
obj344,raccoon,"possum, cat, badger, skunk,"
obj345,radio,"alarm clock, cable, box, cassette, tape, stereo,"
obj346,radish,
obj347,rain,"puddle, puddles, shower, drizzle, flood, storm, raindrops,"
obj348,rainbow,
obj349,rake,"trident, shovel, brush, stick, pole,"
obj350,razor,"spaceship, blade, razorblade, shaving, shaver, _windshieldwiper,"
obj351,recordplayer,"DJ, music, record, stereo, boombox, instrument, CD,"
obj352,refrigerator,"fridge, freezer, appliance,"
obj353,rhinoceros,"rhino, hippo, hippopotamus,"
obj354,gun,"rifle, shotgun, sniper, firearm, musket,"
obj355,ring,"engagement ring, wedding ring, band, wedding band, engagement band,"
obj356,road,"drive, highway, street, dessert, interstate, rural, freeway,"
obj357,robot,
obj358,rock,"boulder, stone,"
obj359,rocket,"spaceship, firework, missile, spacecraft, weapon,"
obj360,rockingchair,"chair, armchair, recliner, rocker,"
obj361,rollerskate,"rollerblade, rollerblades, rollerskates, shoe,"
obj362,rollingpin,"roller, pin,"
obj363,roof,"house, ceiling, shingles,"
obj364,rooster,"chicken, hen, duck, turkey, bird,"
obj365,rope,"thread, twine,"
obj366,rose,"flower, tulip, orchid, poppy,"
obj367,rug,"carpet, blanket,"
obj368,ruler,"yardstick, measure, measuring stick,"
obj369,saddle,"seat, drape,"
obj370,safe,"lock, lockbox, locker, safety box, safety,"
obj371,safetypin,"pin, clip, bobby pin,"
obj372,sailboat,"ship, boat, sail, catamaran, sunfish, vessel, yacht, sloop,"
obj373,sailor,"man, male, boater, mariner, shipmate, yachter,"
obj374,salt,"shaker, pepper, salt shaker, pepper shaker, condiment, sugar,"
obj375,sandwich,
obj376,saw,"axe, tool, cutter,"
obj377,saxophone,"instrument, music, musical instrument, clarinet,"
obj378,scale,"weigh, balance, weight,"
obj379,scarf,"bandana, shawl, muffler,"
obj380,scissors,"scissor, clippers, trimmers,"
obj381,scorpion,"lobster, arachnid, crustacean, crab, crawfish,"
obj382,screw,"nail, bolt, nut, rivet,"
obj383,screwdriver,"flathead, drill, tool,"
obj384,seahorse,"sea dragon,"
obj385,seal,"sea lion, otter, walrus, manatee,"
obj386,seesaw,"teeter totter, swing, swing set,"
obj387,sewingmachine,"iron,"
obj388,shark,"orca, hammerhead,"
obj389,sheep,"goat, lamb, ram, cow,"
obj390,shell,"seashell,"
obj391,boat,"ship, Titanic, vessel, yacht, barge,"
obj392,shirt,"long sleeve shirt, button down shirt, long sleeves, dress shirt, _jacket,"
obj393,shoe,"dress shoe, shoes, loafer,"
obj394,shoulder,"bicep, arm, upper arm, body, upper body,"
obj395,shovel,"tool,"
obj396,shower,"faucet, nozzle, valve, spout, water, showerhead,"
obj397,sink,"faucet, nozzle, valve, spout, water, basin, drain, dishes,"
obj398,skateboard,"longboard, scooter, roller board, pennyboard,"
obj399,skeleton,"bones, bone, dead, cadaver, body, dead body,"
obj400,skirt,"apron,"
obj401,skis,"skiing, ski,"
obj402,skunk,"racoon, badger, possum, squirrel, rat, mouse, rodent,"
obj403,sled,"sleigh, toboggan, sledge,"
obj404,slide,"playground,"
obj405,slingshot,"catapult,"
obj406,slipper,
obj407,smoke,"chimney, stack, vent, furnace, chimney stack, smoke shaft, exhaust, pollution, soot, steam, vapor,"
obj408,snail,"mollusk, slug,"
obj409,snake,"serpent, cobra, python, viper, rattlesnake, copperhead, boa constrictor,"
obj410,snowman,"snow, snowwoman,"
obj411,sock,
obj412,couch,"sofa, futon, loveseat, lounge,"
obj413,soldier,"fighter, guard, officer, trooper, army, marine,"
obj414,spaghetti,"pasta, noodles, linguine, fettuccine,"
obj415,spatula,"mirror, reflector, scraper, flipper,"
obj416,spider,"spiderweb, arachnid, tarantula,"
obj417,thread,"roll, ribbon, filament, string, wire, wool, yarn, spool,"
obj418,spoon,"utensil,"
obj419,squirrel,"rat, mouse, rodent, mouse, rabbit, cat,"
obj420,stairs,"stair, stairway, staircase, steps, stairwell,"
obj421,statue,"sculpture, mold, bust, marble,"
obj422,steeringwheel,"wheel,"
obj423,stethoscope,"instrument,"
obj424,stocking,"sock, legging, leggings,"
obj425,stool,"chair, seat, ottoman, bench,"
obj426,stove,"oven, boiler, cooker, furnace,"
obj427,strawberry,"berry, fruit, seeds,"
obj428,stroller,"pram, buggy,"
obj429,submarine,"ship, boat, underwater,"
obj430,suitcase,"bag, briefcase, luggage, attaché case, case, handbag,"
obj431,sun,"sunshine, light, daylight,"
obj432,swan,"goose, duck, crane, pelican,"
obj433,sweater,"shirt, long sleeve shirt, sweatshirt, pullover, jacket,"
obj434,swing,"swings, playground, swingset,"
obj435,sword,"weapon, foil, saber, spear, blade, dagger,"
obj436,needle,"shot, syringe, injection, pipette, vaccine, medicine,"
obj437,table,"desk, counter, stand,"
obj438,tail,"butt, rear, hair, horse,"
obj439,tank,"armored vehicle, army,"
obj440,taperecorder,
obj441,teapot,"pot, kettle, tea kettle, pitcher, vase, container, mug, cup, tea, coffee, jug,"
obj442,tear,"cry, crying, child, boy, girl, sad, sadness, sulk, tears,"
obj443,teepee,"hut, tent, wigwam, dwelling, yurt, reservation, house, home,"
obj444,teeth,"denture, dentures, fake teeth, molar, molars, gum, gums, dental,"
obj445,telephone,"phone, home phone, house phone, rotary, rotary phone, old phone, dial, call, landline,"
obj446,telescope,"scope, tripod, microscope, magnifier,"
obj447,tv,"television, cable, screen, tv set, microwave,"
obj448,tennisracket,"racket, tennis, squash, racket ball,"
obj449,tent,"yurt, camp, hut, wigwam,"
obj450,thermos,
obj451,thimble,"basket, garbage,"
obj452,thumb,"finger, hang, left hand, extension, thumbs up,"
obj453,tie,"knot, collared shirt, business attire, attire, collar, stripe, striped, stripes, striped tie,"
obj454,tiger,"leopard, lion, cheetah, panther, cat, big cat,"
obj455,tire,"wheel,"
obj456,toaster,"toaster oven,"
obj457,toe,"big toe, toenail, thumb toe, finger, hand, foot,"
obj458,toilet,"restroom, lavatory,"
obj459,tomato,"peach, apple, orange, kiwi, plum, nectarine,"
obj460,grave,"graveyard, tomb, tombstone, shrine, memorial, cemetery,"
obj461,toothbrush,"brush,"
obj462,top,"dreidel, spinner, urn, spin,"
obj463,towel,"rug, clothes, sweater, sheet, bath sheet, napkin, napkins, cloth, wash cloth, wipe,"
obj464,railroadtracks,"railroad, track, tracks, rail line, train, train track, train tracks, rail track, rail tracks, railroadtrack,"
obj465,tractor,"truck, car, vehicle, trailer, tractor trailer,"
obj466,stoplight,"light, traffic light, signal, traffic signal, traffic signals,"
obj467,train,"rail,"
obj468,trashcan,"trash, garbage, garbage can, bin, garbage bin,"
obj469,tree,"oak tree,"
obj470,tripod,"mount, stand, camera stand, support,"
obj471,trophy,"award, cup,"
obj472,truck,"cargo,"
obj473,trumpet,"instrument, music, musical instrument, cornet, trombone, horn, clarinet,"
obj474,chest,"box, storage, bin, trunk, case, locker,"
obj475,turkey,"bird, goose, ham, rooster, chicken, poultry,"
obj476,turtle,"tortoise, terrapin,"
obj477,tweezers,"tweezer, pliers, tongs, clip, clips, clamp, clamps,"
obj478,typewriter,"keyboard, printer,"
obj479,umbrella,
obj480,unicorn,
obj481,unicycle,"bicycle, monocycle,"
obj482,vacuum,"mop, cleaner,"
obj483,vase,"jar, pot, urn, container, flowerpot, jug, vaz,"
obj484,vest,"jacket, waistcoat,"
obj485,violin,"instrument, music, musical instrument, guitar, fiddle, viola, cello,"
obj486,volcano,"explosion, volcanic explosion, volcanic eruption, volcanic,"
obj487,waffle,"waffle, cardboard, saucer, circle, bread, grate, grater,"
obj488,wagon,"carriage, cart,"
obj489,waiter,"server, attendant, steward, waitress,"
obj490,bricks,"wall, barricade, fence, brickwall,"
obj491,wallet,
obj492,walnut,
obj493,walrus,"seal, sea lion, manatee,"
obj494,closet,"wardrobe, dresser, cabinet, cupboard,"
obj495,washingmachine,"laundry, laundry machine, washer, wash, laundromat, dryer, drying machine, stove,"
obj496,watch,"clock, wristwatch,"
obj497,wateringcan,
obj498,watermelon,"melon, cantaloupe, honeydew,"
obj499,spiderweb,"web, spider,"
obj500,well,"hole, reservoir, water, bucket, spring,"
obj501,whale,"dead whale, washed up,"
obj502,wheat,"crops, corn, barley, rye, oats, grain, weeds, flowers,"
obj503,wheel,"spokes, rim,"
obj504,wheelbarrow,"wagon, cart,"
obj505,wheelchair,"scooter,"
obj506,whip,
obj507,whistle,
obj508,wig,"mannequin, figure, hairpiece, hair,"
obj509,windmill,"wind turbine,"
obj510,window,"pane, windowpane,"
obj511,glass,"wine glass, champagne glass, cup, drink, mug, "
obj512,wing,"bird, feather,"
obj513,witch,"sorceress, wizard, broom,"
obj514,wolf,"coyote, husky, fox,"
obj515,woman,"female,"
obj516,worm,"larva, bug, insect, crawler, centipede, maggot, earthworm, slither,"
obj517,wrench,"pliers, ratchet,"
obj518,yoyo,"string, toy,"
obj519,zebra,"horse,"
obj520,zipper,
